iter	Passed	Remaining
0	140	140110
1	147	73476
2	154	51290
3	160	39975
4	167	33262
5	173	28723
6	177	25199
7	181	22462
8	183	20232
9	187	18522
10	189	17035
11	191	15766
12	193	14716
13	197	13898
14	199	13124
15	202	12482
16	204	11839
17	207	11300
18	209	10792
19	212	10406
20	214	10001
21	216	9634
22	218	9267
23	219	8939
24	221	8642
25	223	8356
26	224	8084
27	226	7854
28	232	7796
29	234	7574
30	235	7363
31	236	7157
32	237	6967
33	239	6797
34	240	6635
35	241	6476
36	243	6325
37	244	6183
38	245	6049
39	246	5918
40	248	5802
41	249	5686
42	250	5581
43	251	5472
44	252	5368
45	254	5273
46	255	5183
47	256	5096
48	258	5013
49	259	4934
50	260	4854
51	262	4779
52	263	4709
53	264	4641
54	266	4574
55	267	4507
56	268	4442
57	269	4381
58	271	4322
59	272	4264
60	273	4210
61	274	4156
62	275	4104
63	277	4051
64	278	4000
65	279	3951
66	280	3904
67	281	3851
68	282	3807
69	283	3764
70	284	3722
71	285	3681
72	286	3642
73	287	3601
74	289	3569
75	290	3532
76	291	3496
77	292	3461
78	293	3425
79	294	3392
80	296	3359
81	297	3328
82	298	3297
83	299	3268
84	300	3234
85	301	3205
86	302	3175
87	303	3147
88	304	3120
89	305	3093
90	307	3067
91	308	3041
92	309	3015
93	310	2991
94	311	2967
95	312	2944
96	313	2922
97	314	2898
98	316	2876
99	317	2855
100	318	2834
101	319	2809
102	320	2787
103	321	2768
104	322	2749
105	323	2730
106	324	2710
107	325	2692
108	327	2674
109	328	2655
110	329	2638
111	330	2620
112	331	2603
113	332	2586
114	333	2569
115	334	2551
116	335	2535
117	337	2519
118	337	2500
119	338	2483
120	339	2466
121	340	2449
122	340	2430
123	341	2414
124	342	2398
125	343	2383
126	344	2368
127	345	2351
128	346	2336
129	346	2321
130	347	2307
131	348	2293
132	349	2279
133	350	2265
134	351	2251
135	352	2237
136	353	2224
137	353	2210
138	354	2197
139	355	2184
140	356	2173
141	358	2163
142	359	2153
143	361	2146
144	362	2136
145	363	2126
146	364	2116
147	366	2109
148	367	2101
149	369	2092
150	370	2084
151	372	2076
152	373	2068
153	375	2060
154	376	2052
155	377	2045
156	379	2038
157	381	2032
158	382	2024
159	384	2016
160	385	2011
161	387	2004
162	389	1998
163	390	1991
164	392	1987
165	394	1983
166	396	1977
167	397	1970
168	399	1963
169	401	1958
170	402	1951
171	404	1945
172	405	1938
173	407	1934
174	408	1928
175	410	1923
176	412	1919
177	414	1914
178	416	1909
179	417	1902
180	418	1892
181	420	1888
182	422	1886
183	423	1880
184	426	1877
185	428	1873
186	429	1869
187	431	1863
188	432	1857
189	435	1857
190	437	1853
191	439	1851
192	444	1859
193	446	1854
194	448	1851
195	450	1846
196	451	1841
197	453	1836
198	455	1831
199	458	1832
200	460	1831
201	462	1825
202	463	1820
203	465	1814
204	466	1809
205	468	1803
206	469	1798
207	471	1795
208	473	1790
209	474	1785
210	476	1780
211	477	1775
212	479	1770
213	480	1765
214	482	1759
215	483	1755
216	485	1750
217	487	1750
218	489	1745
219	491	1740
220	492	1736
221	494	1731
222	495	1726
223	496	1721
224	498	1716
225	499	1711
226	501	1706
227	502	1701
228	504	1697
229	505	1693
230	507	1688
231	509	1685
232	510	1680
233	511	1675
234	513	1671
235	515	1667
236	517	1665
237	518	1661
238	520	1657
239	522	1653
240	523	1649
241	525	1644
242	526	1640
243	527	1635
244	529	1631
245	530	1627
246	532	1623
247	534	1619
248	535	1615
249	537	1612
250	539	1608
251	540	1603
252	541	1599
253	543	1595
254	544	1592
255	546	1587
256	547	1583
257	549	1579
258	551	1576
259	552	1573
260	554	1569
261	555	1565
262	557	1561
263	559	1559
264	560	1555
265	563	1554
266	564	1550
267	566	1546
268	567	1543
269	569	1539
270	570	1535
271	572	1531
272	573	1527
273	574	1523
274	576	1520
275	578	1516
276	579	1511
277	580	1508
278	582	1505
279	583	1501
280	585	1497
281	586	1494
282	588	1491
283	589	1487
284	592	1486
285	595	1487
286	598	1486
287	601	1486
288	603	1484
289	609	1491
290	612	1491
291	613	1488
292	615	1485
293	616	1481
294	618	1478
295	620	1474
296	621	1471
297	623	1468
298	624	1464
299	626	1461
300	628	1458
301	629	1455
302	631	1452
303	632	1448
304	633	1444
305	635	1441
306	637	1439
307	639	1435
308	640	1432
309	642	1429
310	643	1426
311	645	1423
312	646	1419
313	648	1416
314	650	1413
315	651	1410
316	653	1408
317	654	1404
318	657	1403
319	658	1400
320	660	1397
321	661	1393
322	663	1390
323	664	1386
324	666	1383
325	667	1379
326	668	1376
327	670	1372
328	671	1369
329	672	1365
330	674	1362
331	675	1359
332	676	1355
333	678	1352
334	680	1350
335	682	1347
336	683	1345
337	685	1342
338	687	1339
339	688	1336
